CLUSTER,NAMESPACE,WORKLOAD,CONTAINER NAME,IMAGE TAG,RELEVANT,CRITICAL,HIGH,MEDIUM,LOW,NEGLIGIBLE,UNKNOWN
vdb-core-digital-k8s-prod,meterreading,pod-sparkplug-connections-sync-1704348018897809327-84eb068cd30f192a-exec-6,spark-kubernetes-executor,bigdataregistry.azurecr.io/sparkplug:20240103-12146,790,140,399,236,55,73,5
vdb-core-digital-k8s-prod,meterreading,pod-sparkplug-connections-sync-with-anomalies-1703934017003362460-driver,spark-kubernetes-driver,bigdataregistry.azurecr.io/sparkplug:20231222-12766,787,140,396,236,55,73,5
vdb-core-digital-k8s-prod,airbyte,pod-destination-snowflake-write-8761-0-muniq,main,docker.io/airbyte/destination-snowflake:1.0.6,375,46,245,226,43,0,0
vdb-core-digital-k8s-prod,keycloak,deployment-keycloak,service,bigdataregistry.azurecr.io/keycloak:20231228-12753,328,60,136,282,119,0,4
vdb-core-digital-k8s-prod,airbyte,pod-normalization-snowflake-normalize-8761-0-cxyhk,main,docker.io/airbyte/normalization-snowflake:0.4.3,254,51,370,399,31,441,14
vdb-core-digital-k8s-prod,jupyterhub,pod-jupyter-niek-20van-20den-20bos,notebook,docker.io/vandebron/pyspark-notebook:e20274919904,183,167,457,1366,409,79,0
vdb-core-digital-k8s-prod,dagster,deployment-ucd-pmr-portfolio-management-reporting,dagster-user-deployments,bigdataregistry.azurecr.io/portfolio-management-reporting:20231228-3314,176,10,151,162,34,600,14
vdb-core-digital-k8s-prod,dagster,deployment-ucd-pmm-portfolio-management-monitoring,dagster-user-deployments,bigdataregistry.azurecr.io/portfolio-management-monitoring:20231228-3322,175,10,151,162,34,600,14
vdb-core-digital-k8s-prod,airbyte,pod-source-postgres-read-8761-0-tpqkt,main,docker.io/airbyte/source-postgres:2.0.34,159,6,98,158,22,0,0
vdb-core-digital-k8s-prod,airbyte,deployment-airbyte-worker,airbyte-worker-container,docker.io/airbyte/worker:0.50.5,116,7,98,107,24,0,0
vdb-core-digital-k8s-prod,dagster,deployment-ucd-fovf-flex-optimizer-volume-forecasting,dagster-user-deployments,bigdataregistry.azurecr.io/flex-optimizer-volume-forecasting:20231221-3305,113,2,29,65,7,246,6
vdb-core-digital-k8s-prod,elastic,deployment-cerebro,cerebro,docker.io/lmenezes/cerebro:0.9.4,108,24,83,59,28,67,3
vdb-core-digital-k8s-prod,trading-cbp-message-store,statefulset-trading-cbp-message-store-postgres,patroni,quay.io/ongres/patroni:v3.2.0-pg15.5-build-6.29,93,5,13,55,68,0,2
vdb-core-digital-k8s-prod,dagster,deployment-dagster-daemon,dagster,docker.io/dagster/dagster-celery-k8s:1.4.7,79,5,51,85,8,130,9
vdb-core-digital-k8s-prod,airbyte,pod-source-postgres-read-8761-0-tpqkt,relay-stdout,docker.io/alpine/socat:1.7.4.3-r0,58,3,40,24,0,0,0
vdb-core-digital-k8s-prod,airbyte,pod-source-s3-read-8742-0-moyss,main,docker.io/airbyte/source-s3:4.3.0,56,2,13,46,13,115,5
vdb-core-digital-k8s-prod,p4-data-processing,statefulset-p4-legacy-postgres,postgres-util,quay.io/ongres/postgres-util:v15.5-build-6.29,41,5,15,56,289,0,5
vdb-core-digital-k8s-prod,cattle-monitoring-system,daemonset-promtail,promtail,docker.io/grafana/promtail:2.7.4,40,2,30,41,8,66,3
vdb-core-digital-k8s-prod,keycloak,statefulset-keycloak-redis-cluster,keycloak-redis-cluster,docker.io/bitnami/redis-cluster:7.2.3,37,4,7,15,10,61,3
vdb-core-digital-k8s-prod,kong,deployment-kong-api-gateway,proxy,docker.io/library/kong:3.3,34,0,11,82,62,15,0
vdb-core-digital-k8s-prod,airbyte,pod-source-postgres-read-8761-0-tpqkt,call-heartbeat-server,docker.io/curlimages/curl:7.83.1,31,4,14,18,0,0,0
vdb-core-digital-k8s-prod,salesforce-middleware,statefulset-salesforce-middleware-postgres,pgbouncer,quay.io/ongres/pgbouncer:v1.21.0-build-6.29,30,3,0,27,63,0,2
vdb-core-digital-k8s-prod,trading-cbp-manager,statefulset-trading-cbp-manager-postgres,prometheus-postgres-exporter,quay.io/ongres/prometheus-postgres-exporter:v0.12.1-build-6.29,28,4,1,30,63,0,2
vdb-core-digital-k8s-prod,dagster,deployment-ucd-pme-portfolio-management-etl,dagster-user-deployments,bigdataregistry.azurecr.io/portfolio-management-etl:20231228-3316,28,6,19,26,3,0,0
vdb-core-digital-k8s-prod,cassandra,pod-cqlsh--29792,cqlsh--29792,docker.io/library/cassandra:3.11.16,23,1,28,45,16,4,0
vdb-core-digital-k8s-prod,jupyterhub,pod-jupyter-lorena-20yunes-20arriaga,notebook,docker.io/vandebron/pyspark-notebook:a20231115,23,0,2,54,69,23,0
vdb-core-digital-k8s-prod,kube-system,deployment-coredns,coredns,docker.io/rancher/mirrored-coredns-coredns:1.9.4,13,0,6,7,0,0,0
vdb-core-digital-k8s-prod,bucketing-service,deployment-bucketingservice,service,bigdataregistry.azurecr.io/bucketingservice:20231205-12012,12,0,0,9,17,4,0
vdb-core-digital-k8s-prod,energy-asset-volumes,deployment-energyassetvolumes,energyassetvolumes,bigdataregistry.azurecr.io/energyassetvolumes:20231110-11977,12,0,0,17,23,4,0
vdb-core-digital-k8s-prod,batterypack,deployment-pepactor,service,bigdataregistry.azurecr.io/pepactor:20231204-12511,12,0,0,9,17,4,0
vdb-core-digital-k8s-prod,kube-system,daemonset-ebs-csi-node,liveness-probe,k8s.gcr.io/sig-storage/livenessprobe:v2.6.0,12,0,8,4,0,0,0
vdb-core-digital-k8s-prod,curtailment-fleet,deployment-curtailmentfleet,service,bigdataregistry.azurecr.io/curtailmentfleet:20231215-12680,12,0,0,9,17,4,0
vdb-core-digital-k8s-prod,cattle-monitoring-system,statefulset-loki,loki,docker.io/grafana/loki:2.8.0,12,0,8,21,1,0,0
vdb-core-digital-k8s-prod,kube-system,daemonset-ebs-csi-node,node-driver-registrar,k8s.gcr.io/sig-storage/csi-node-driver-registrar:v2.5.1,11,0,7,4,0,0,0
vdb-core-digital-k8s-prod,kubescape,deployment-kubescape,kubescape,quay.io/kubescape/kubescape:v3.0.2-prerelease,9,0,3,5,1,0,0
vdb-core-digital-k8s-prod,dagster,deployment-ucd-etp-etp,dagster-user-deployments,bigdataregistry.azurecr.io/etp:20231223-3315,9,6,23,24,6,0,0
vdb-core-digital-k8s-prod,kubescape,deployment-storage,apiserver,quay.io/kubescape/storage:v0.0.39,8,0,3,5,0,0,0
vdb-core-digital-k8s-prod,kube-system,daemonset-efs-csi-node,liveness-probe,public.ecr.aws/eks-distro/kubernetes-csi/livenessprobe:v2.8.0-eks-1-23-8,7,0,7,3,0,0,0
vdb-core-digital-k8s-prod,kubescape,daemonset-host-scanner,host-sensor,quay.io/kubescape/host-scanner:v1.0.66,6,0,3,3,0,0,0
vdb-core-digital-k8s-prod,curtailment-volumes-api,statefulset-curtailment-volumes-api-postgres,cluster-controller,quay.io/stackgres/cluster-controller:1.6.1,4,0,2,18,19,0,2
vdb-core-digital-k8s-prod,trading-cbp-message-store,statefulset-trading-cbp-message-store-postgres,envoy,quay.io/ongres/envoy:v1.24.12-build-6.29,4,4,0,27,63,0,2
vdb-core-digital-k8s-prod,batterypack,deployment-flexgwchargepoints,service,bigdataregistry.azurecr.io/flexgwchargepoints:20231220-12723,3,0,0,3,11,4,0
vdb-core-digital-k8s-prod,kubescape,deployment-gateway,gateway,quay.io/kubescape/gateway:v0.1.20,2,0,0,2,0,0,0
